id,title,type,refer,knowledge_points,source
Q001a,"In a distributed banking system, the server keeps the transaction records of credit cards and provides two services. The first service is for customers to query the available credit limit (a floating-point value) by specifying the credit card number (an integer). The second service is to keep customers informed of their new transactions through callback. To use this service, a customer must register his interest by specifying the credit card number. A callback from the server includes the transaction description (a string) and the amount used (a floating-point value). Design Java remote interfaces for the server and the customer.",Essay,"Chapter 3 Distributed Objects & Remote Invocation, Chapter 4 Distributed File Systems",An example of Java RMI; Fundamental characteristics of DS; Sun Network File System; Andrew and Coda File Systems,8.pdf
Q001b,Let A and B be two different idempotent operations on the same object. Let C be a compound operation that first executes A and then executes B. Analyze whether operation C is idempotent and briefly explain your answer.,Essay,"Chapter 3 Distributed Objects & Remote Invocation, Chapter 4 Distributed File Systems",An example of Java RMI; Fundamental characteristics of DS; Sun Network File System; Andrew and Coda File Systems,8.pdf
Q001c,"Briefly explain one-copy update semantics and session update semantics. What update semantics do the local UNIX file system, the Network File System and the Andrew File System implement respectively?",Essay,"Chapter 3 Distributed Objects & Remote Invocation, Chapter 4 Distributed File Systems",An example of Java RMI; Fundamental characteristics of DS; Sun Network File System; Andrew and Coda File Systems,8.pdf
Q002a,"In a peer-to-peer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 2^7 – 1). There are 10 nodes in the system: N0, N6, N25, N38, N45, N58, N67, N73, N88 and N94, where the numbers behind 'N' denote the node identifiers on the identifier circle. What is the route of a query issued by node N88 for the location information of file K71 (the number behind 'K' denotes the key identifier of the file on the identifier circle)?",Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,Structured DHT Systems,8.pdf
Q002b,"In a peer-to-peer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 2^7 – 1). There are 10 nodes in the system: N0, N6, N25, N38, N45, N58, N67, N73, N88 and N94, where the numbers behind 'N' denote the node identifiers on the identifier circle. When a new node joins the system, it changes the route of the query in Q2(a). What are the possible node identifiers of this new node?",Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,Structured DHT Systems,8.pdf
Q003a,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1's clock at event e, and tg be the reading of p2's clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. [Figure Q3 Description: A time diagram with three processes P1, P2, P3. P1 has events d, e. P2 has events b, c, f, g. P3 has events a, h. Messages are sent from a(P3) to b(P2), from c(P2) to d(P1), from e(P1) to f(P2), and from g(P2) to h(P3). Time intervals are: d to e is 600 ms on p1's clock; f to g is 300 ms on p2's clock; b to c is 800 ms on p2's clock; b to g is 1414 ms on p2's clock; a to h is 1584 ms on p3's clock.] Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p2's clock as accurately as possible, what time should p3 set its clock to when it receives the message at event h? What is the accuracy of this setting?",Calculation,Chapter 7 Time and Global States,Synchronizing Physical Clocks; Causal Ordering and Logical Clocks; Global States,8.pdf
Q003b,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1's clock at event e, and tg be the reading of p2's clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. [Figure Q3 Description: A time diagram with three processes P1, P2, P3. P1 has events d, e. P2 has events b, c, f, g. P3 has events a, h. Messages are sent from a(P3) to b(P2), from c(P2) to d(P1), from e(P1) to f(P2), and from g(P2) to h(P3). Time intervals are: d to e is 600 ms on p1's clock; f to g is 300 ms on p2's clock; b to c is 800 ms on p2's clock; b to g is 1414 ms on p2's clock; a to h is 1584 ms on p3's clock.] Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p1's clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting?",Calculation,Chapter 7 Time and Global States,Synchronizing Physical Clocks; Causal Ordering and Logical Clocks; Global States,8.pdf
Q003c,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1's clock at event e, and tg be the reading of p2's clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. [Figure Q3 Description: A time diagram with three processes P1, P2, P3. P1 has events d, e. P2 has events b, c, f, g. P3 has events a, h. Messages are sent from a(P3) to b(P2), from c(P2) to d(P1), from e(P1) to f(P2), and from g(P2) to h(P3). Time intervals are: d to e is 600 ms on p1's clock; f to g is 300 ms on p2's clock; b to c is 800 ms on p2's clock; b to g is 1414 ms on p2's clock; a to h is 1584 ms on p3's clock.] Suppose that the drift rate of each clock is bounded by 10 ms per second (the drift rate of a clock is defined as the change in the offset between the clock and a perfect reference clock per unit of time measured by the perfect reference clock). If p3 would like to synchronize its clock with p2's clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting?",Calculation,Chapter 7 Time and Global States,Synchronizing Physical Clocks; Causal Ordering and Logical Clocks; Global States,8.pdf
Q003d,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1's clock at event e, and tg be the reading of p2's clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. [Figure Q3 Description: A time diagram with three processes P1, P2, P3. P1 has events d, e. P2 has events b, c, f, g. P3 has events a, h. Messages are sent from a(P3) to b(P2), from c(P2) to d(P1), from e(P1) to f(P2), and from g(P2) to h(P3). Time intervals are: d to e is 600 ms on p1's clock; f to g is 300 ms on p2's clock; b to c is 800 ms on p2's clock; b to g is 1414 ms on p2's clock; a to h is 1584 ms on p3's clock.] List all the events that happened-before event e in causal ordering.",Calculation,Chapter 7 Time and Global States,Synchronizing Physical Clocks; Causal Ordering and Logical Clocks; Global States,8.pdf
Q003e,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1's clock at event e, and tg be the reading of p2's clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. [Figure Q3 Description: A time diagram with three processes P1, P2, P3. P1 has events d, e. P2 has events b, c, f, g. P3 has events a, h. Messages are sent from a(P3) to b(P2), from c(P2) to d(P1), from e(P1) to f(P2), and from g(P2) to h(P3). Time intervals are: d to e is 600 ms on p1's clock; f to g is 300 ms on p2's clock; b to c is 800 ms on p2's clock; b to g is 1414 ms on p2's clock; a to h is 1584 ms on p3's clock.] Assume that message delivery on each unidirectional point-to-point channel follows FIFO order. Suppose that p1 initiates the Chandy-and-Lamport algorithm immediately after event e to record a snapshot of the system. What are the possible snapshots finally recorded? In your answer, if needed, use S1, S2 and S3 to represent the initial states of p1, p2 and p3 respectively, and use Sx to represent the state of the process immediately after event x occurs (for example, Sa is the state of p3 immediately after event a occurs, and Sc is the state of p2 immediately after event c occurs).",Calculation,Chapter 7 Time and Global States,Synchronizing Physical Clocks; Causal Ordering and Logical Clocks; Global States,8.pdf
