id,title,type,original_type,refer,knowledge_points,source,title_length
Q001,"1. (a) An information server maintains the COVID19 situation reports of different countries and updates them daily. The server would like to keep interested clients informed of the latest report through callback. Design a Java remote interface for the clients to allow the server to perform callback, and a Java remote interface for the server to allow the clients to register and deregister their interests in the report of a specified country. Assume that the reports and country names are represented by strings. (b) A client makes remote method invocations to a server. The client takes 3 milliseconds to compute the arguments for each request, and the server takes 20 milliseconds to process each request. The local operating system processing time for each send or receive operation is 1 millisecond, and the network propagation time to transmit each request or reply message is 4 milliseconds. Marshalling or unmarshalling takes 1 millisecond per message. The server runs two threads on two processors, and the client runs two threads on a single processor. Assume that contextswitching times are negligible. Calculate the time taken by the client to generate and return from two remote method invocation requests.",Calculation,Calculation,Chapter 3 Distributed Objects & Remote Invocation,"['Object-based model: remote method invocation (RMI)', 'An example of Java RMI', 'Architecture of RMI']",6.pdf,1221
Q002,"2. A client C in NTU would like to resolve a name www.ox.ac.uk"". List the sequence of all messages sent among C and the relevant name servers in the name resolution process, assuming name mappings are not cached at nonauthoritative name servers initially. In your answer, use the format ""NS(ddd) to indicate the authoritative name server for the domain ddd"", and use the format C NS(ddd) to indicate a message sent by C to NS(ddd).",Short Answer,Short Answer,Chapter 6 Name Services,['Domain Name System'],6.pdf,431
Q003,"3. A distributed file system consists of a server and two clients A and B. Let f be a singleblock file stored at the server. Figure Q3 shows the operations performed by clients A and B on file f, where o, r, u and c represent open, read, update and close operations respectively. A and B both start with an empty client cache, and the caches are large enough to avoid any replacement. The updates made by B do not change the length of file f. The transmission delay in the network and the processing times at the server and clients are negligible. The timeline of operations is as follows: Client A: o, r1 (t1); r2 (t2); r3 (t4); r4 (t7); r5, c (t9); o, r6 (t11); r7, c (t13); o, r8, c (t15). Client B: o, u1 (t3); u2 (t5); u3, c (t12). For each case below, determine the time instants when A needs to contact the server, and determine which read operations of A return the uptodate file. (a) The system is an NFS. The clients use a freshness interval of 3 seconds to maintain cache consistency, and client B uses a biodaemon process to send its updates to the server right after making each update. (b) The system is an AFS that implements session update semantics.",Short Answer,Short Answer,Chapter 4 Distributed File Systems,"['Sun Network File System', 'Andrew and Coda File Systems']",6.pdf,1166
Q004,"4. In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 9 nodes in the system: N1, N8, N21, N30, N36, N51, N91, N97 and N116, where the numbers behind N denote the node identifiers on the identifier circle. (a) What is the route of a query issued by node N51 for the location information of file K34 (the number behind K denotes the key identifier of the file on the identifier circle)? (b) When a new node joins the system, nodes N8 and N30 both need to update their finger tables. What are the possible node identifiers of this new node? (Note: besides N8 and N30, there may be other nodes which also need to update their finger tables due to the new node.)",Short Answer,Short Answer,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],6.pdf,734
Q005,"5. Three processes p1, p2 and p3 are running on three different computers in an asynchronous distributed system. Figure Q5 shows the messages m1 to m4 sent between the processes, where events a to h represent the sending and receiving events of these messages. The spacetime diagram shows:  p1 sends m1 to p2 (event a at p1, event d at p2).  p3 sends m2 to p2 (event b at p3, event e at p2).  p2 sends m3 to p3 (event c at p2, event f at p3).  p3 sends m4 to p1 (event g at p3, event h at p1). The local event order is: p1(a, h), p2(d, e, c), p3(b, f, g). (a) Suppose that the transmission delay of each message is at least 50 ms. Clock drifts are negligible. Let tx be the local clock reading at event x in the process where x occurs (for example, ta is the local clock reading of p1 at event a, and tb is the local clock reading of p3 at event b). Assume that p1 knows the clock readings te and tg, and also knows that th  ta  1000 ms, tc  tb  100 ms, tf  tc  500 ms, tg  tf  100 ms, te  td  300 ms. (i) If p1 would like to synchronize its local clock with p3s clock as accurately as possible, what time should p1 set its clock to when it receives message m4 from p3? What is the accuracy of this setting? (ii) If p1 would like to synchronize its local clock with p2s clock as accurately as possible, what time should p1 set its clock to when it receives message m4 from p3? What is the accuracy of this setting? (b) Timestamp all the events in Figure Q5 using the vector clocks. (c) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. Process p3 initiates the ChandyandLamport algorithm immediately after event c to record a snapshot of the system. List all the possible snapshots finally recorded. Indicate clearly the process states and channel states in the snapshots. In your answer, use S1, S2 and S3 to represent the initial states of processes p1, p2 and p3 respectively, and use Sx to represent the state of the process (where event x occurs) immediately after event xs occurrence (for example, Sa is the state of process p1 immediately after event a occurs, and Sb is the state of process p3 immediately after event b occurs).",Short Answer,Short Answer,Chapter 7 Time and Global States,"['Synchronizing Physical Clocks', 'Causal Ordering and Logical Clocks', 'Global States']",6.pdf,2179
Q006,"6. A replicated shared object service hosts an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x, 2) denotes a write operation setting the value of x to 2. The operations performed by each client are listed in the order that they are performed by the client. Table Q6: Client A operations (in order): write(x, 1), read(x)  a, write(x, 2), read(x)  b. Client B operations (in order): write(x, 3), read(x)  1, write(x, 4), read(x)  c. (a) If the object service is sequentially consistent, what are the possible combinations of the values a, b and c? (b) If the object service is FIFO consistent, what are the possible combinations of the values a and b? (c) Suppose that there are four replicas of object x. (i) What are the maximum numbers of crash failures and arbitrary failures that can be tolerated respectively under passive replication? (ii) What are the maximum numbers of crash failures and arbitrary failures that can be tolerated respectively under active replication? (iii) Let R be the minimum allowable number of replicas in a read quorum and W be the minimum allowable number of replicas in a write quorum. List all possible combinations of R and W permitted by Giffords quorum consensus scheme to handle network partitions.",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],6.pdf,1378
Q007,"7. Three processes p1, p2 and p3 are running in an asynchronous distributed system. The vector clock mechanism is used to timestamp the events that occur in these processes, including the events of sending messages, receiving messages and the internal actions carried out by the processes. Suppose that two events a and b have timestamps (10, 20, 30) and (40, 50, 60) respectively. (a) What is the maximum possible number of events x in the system satisfying both a  x and x  b in causal ordering? Briefly explain your answer and draw a diagram to illustrate such a scenario. (b) What is the minimum possible number of events x in the system satisfying both a  x and x  b in causal ordering? Briefly explain your answer and draw a diagram to illustrate such a scenario.",Short Answer,Short Answer,Chapter 7 Time and Global States,['Causal Ordering and Logical Clocks'],6.pdf,769
Q008,"8. (a) In an asynchronous distributed system, two processes A and B are connected by a bidirectional communication channel. Each process wants to select and take one of two actions x and y. Assume that the processes suffer from crash failures, but the communication channel is reliable and does not fail. Can a protocol be devised for the two processes to agree upon the action to take? Briefly explain your answer. (b) In the RicartandAgrawala algorithm for mutual exclusion, instead of using logical clock readings to timestamp requests, suppose that every process maintains a monotonically increasing counter to record how many requests it has made, and uses the counter readings to timestamp its requests. With this modification, does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer.",Essay,Essay,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],6.pdf,871
Q009,"1. (a) In a distributed MRT information system, the server provides a method that allows the clients to query the fare between two specified stations. The server also provides an alert service to the clients through callback. When there is a service interruption for any MRT line, the alert service notifies interested clients of the line name. Assume that the station names and line names are represented by strings, and the fare is represented by a floatingpoint value. (i) Design a Java remote interface for the server to allow the clients to query the fares and to register their interests in the alert service. Design a Java remote interface for the clients to allow the server to perform callback. (6 marks) (ii) For each method defined in the above interfaces, briefly explain the parameter passing semantics of each parameter. (3 marks) (b) To resolve a name requested by a client C, four name servers are involved in the order of S1, S2, S3, S4. Suppose that only unicast is used in the name resolution. For each navigation type below, list the sequence of all messages sent among C, S1, S2, S3, S4 in the name resolution process (use the format C  S₁ to indicate a message sent by C to S1).  Iterative clientcontrolled navigation  Nonrecursive servercontrolled navigation  Recursive servercontrolled navigation (6 marks)",Short Answer,Short Answer,"Chapter 3 Distributed Objects & Remote Invocation, Chapter 6 Name Services","['An example of Java RMI', 'Distributed object model', 'Domain Name System']",3.pdf,1330
Q010,"2. In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 10 nodes in the system: N2, N7, N27, N40, N47, N60, N69, N75, N90 and N96, where the numbers behind N denote the node identifiers on the identifier circle. (a) Draw the finger table of node N90. (3 marks) (b) What is the route of a query issued by node N90 for the location information of file K53 (the number behind K denotes the key identifier of the file on the identifier circle)? (4 marks) (c) If a query issued by node N7 visits node N40 in its route, what are the possible key identifiers of the target file? (Note: The query may visit other nodes in addition to N40. N40 can be the node responsible for the target file or any other node visited in the query route.) (7 marks)",Calculation,Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],3.pdf,814
