id,title,type,original_type,refer,knowledge_points,source,title_length
Q001,"In a distributed banking system, the server keeps the transaction records of credit cards and provides two services. The first service is for customers to query the available credit limit (a floatingpoint value) by specifying the credit card number (an integer). The second service is to keep customers informed of their new transactions through callback. To use this service, a customer must register his interest by specifying the credit card number. A callback from the server includes the transaction description (a string) and the amount used (a floatingpoint value). Design Java remote interfaces for the server and the customer. (6 marks)",Programming,Programming,Chapter 3 Distributed Objects & Remote Invocation,"['Object-based model: remote method invocation (RMI)', 'An example of Java RMI']",8.pdf,645
Q002,Let A and B be two different idempotent operations on the same object. Let C be a compound operation that first executes A and then executes B. Analyze whether operation C is idempotent and briefly explain your answer. (6 marks),Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental characteristics of DS'],8.pdf,228
Q003,"Briefly explain onecopy update semantics and session update semantics. What update semantics do the local UNIX file system, the Network File System and the Andrew File System implement respectively? (5 marks)",Short Answer,Short Answer,Chapter 4 Distributed File Systems,"['Sun Network File System', 'Andrew and Coda File Systems']",8.pdf,208
Q004,"In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 10 nodes in the system: N0, N6, N25, N38, N45, N58, N67, N73, N88 and N94, where the numbers behind N denote the node identifiers on the identifier circle. (a) What is the route of a query issued by node N88 for the location information of file K71 (the number behind K denotes the key identifier of the file on the identifier circle)? (5 marks)",Calculation,Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],8.pdf,473
Q005,"In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 10 nodes in the system: N0, N6, N25, N38, N45, N58, N67, N73, N88 and N94, where the numbers behind N denote the node identifiers on the identifier circle. (b) When a new node joins the system, it changes the route of the query in Q2(a). What are the possible node identifiers of this new node? (5 marks)",Calculation,Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],8.pdf,432
Q006,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. (The figure shows events a,h on p3; b,c,f,g on p2; d,e on p1. Messages: ab, cd, ef, gh. Timings: d to e is 600ms on p1s clock; c to f is 800ms on p2s clock; c to g is 1414ms on p2s clock; f to g is 300ms on p1s clock; a to h is 1584ms on p3s clock.) (a) Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to when it receives the message at event h? What is the accuracy of this setting? (4 marks)",Calculation,Calculation,Chapter 7 Time and Global States,['Synchronizing Physical Clocks'],8.pdf,1013
Q007,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. (The figure shows events a,h on p3; b,c,f,g on p2; d,e on p1. Messages: ab, cd, ef, gh. Timings: d to e is 600ms on p1s clock; c to f is 800ms on p2s clock; c to g is 1414ms on p2s clock; f to g is 300ms on p1s clock; a to h is 1584ms on p3s clock.) (b) Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p₁s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting? (4 marks)",Calculation,Calculation,Chapter 7 Time and Global States,['Synchronizing Physical Clocks'],8.pdf,984
Q008,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. (The figure shows events a,h on p3; b,c,f,g on p2; d,e on p1. Messages: ab, cd, ef, gh. Timings: d to e is 600ms on p1s clock; c to f is 800ms on p2s clock; c to g is 1414ms on p2s clock; f to g is 300ms on p1s clock; a to h is 1584ms on p3s clock.) (c) Suppose that the drift rate of each clock is bounded by 10 ms per second (the drift rate of a clock is defined as the change in the offset between the clock and a perfect reference clock per unit of time measured by the perfect reference clock). If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting? (6 marks)",Calculation,Calculation,Chapter 7 Time and Global States,['Synchronizing Physical Clocks'],8.pdf,1185
Q009,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. (The figure shows events a,h on p3; b,c,f,g on p2; d,e on p1. Messages: ab, cd, ef, gh. Timings: d to e is 600ms on p1s clock; c to f is 800ms on p2s clock; c to g is 1414ms on p2s clock; f to g is 300ms on p1s clock; a to h is 1584ms on p3s clock.) (d) List all the events that happenedbefore event e in causal ordering. (2 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,['Causal Ordering and Logical Clocks'],8.pdf,836
Q010,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. (The figure shows events a,h on p3; b,c,f,g on p2; d,e on p1. Messages: ab, cd, ef, gh. Timings: d to e is 600ms on p1s clock; c to f is 800ms on p2s clock; c to g is 1414ms on p2s clock; f to g is 300ms on p1s clock; a to h is 1584ms on p3s clock.) (e) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. Suppose that p₁ initiates the ChandyandLamport algorithm immediately after event e to record a snapshot of the system. What are the possible snapshots finally recorded? In your answer, if needed, use S1, S2 and S3 to represent the initial states of p1, p2 and p3 respectively, and use Sx to represent the state of the process immediately after event x occurs (for example, Sa is the state of p3 immediately after event a occurs, and Sc is the state of p2 immediately after event c occurs). (6 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,"['Global States', 'Distributed Debugging']",8.pdf,1351
Q011,"Figure Q4 shows the execution of two processes p₁ and p2 in an asynchronous distributed system, where the dots represent the events occurring in the processes, and the arrows represent the messages sent between the processes. Process p₁ contains a variable x, and process p2 contains a variable y. The values of x and y at the different process states are shown in Figure Q4. (The figure shows p1 with states x19, x19, x?, x?, x17, x17, x17 and p2 with states y6, y6, y12, y12, y8, y8, y10, y10. Messages are sent between events.) (a) Draw the lattice of consistent global states. In the lattice, use Sij to denote the global state after i events at process p₁ and j events at process p2. (6 marks)",Calculation,Calculation,Chapter 7 Time and Global States,"['Global States', 'Distributed Debugging']",8.pdf,698
